,Aged Care,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
414,Anglesea Residential Aged Care Facility,3230,Lorne Community Hospital,Public,1 Albert Street Lorne VIC 3232,14.58
91,Anzac Lodge Nursing Home,3058,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,0.98
91,Anzac Lodge Nursing Home,3058,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,3.88
332,Arcare Brighton,3186,Mandometer Brighton,Private,412-414 Bay Street Bayside VIC 3186,0.56
332,Arcare Brighton,3186,Calvary Health Care Bethlehem,Public,476-482 Kooyong Road Kooyong VIC 3162,1.01
26,Arcare Burnside,3023,St Albans Endoscopy Centre,Private,328-330 Station Road Brimbank VIC 3021,1.63
26,Arcare Burnside,3023,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,3.4
284,Arcare Carnegie,3163,Monash Medical Centre (Moorabbin),Public,823-865 Centre Road Centre VIC 3165,1.59
284,Arcare Carnegie,3163,Melbourne Day Surgery Centre,Private,961 High Road High VIC 3162,1.62
277,Arcare Caulfield,3161,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,0.72
277,Arcare Caulfield,3161,Precision Ascend Rehabilitation Centre,Private,73 Kooyong Road Kooyong VIC 3161,0.12
348,Arcare Cheltenham,3192,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,1.43
348,Arcare Cheltenham,3192,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,0.37
96,Arcare Craigieburn,3064,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,7.32
96,Arcare Craigieburn,3064,Craigieburn Health Service,Public,274-304 Craigieburn Road Craigieburn VIC 3064,1.35
123,Arcare Epping,3076,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,2.76
123,Arcare Epping,3076,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,3.06
56,Arcare Hillside,3037,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,0.57
56,Arcare Hillside,3037,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,5.07
306,Arcare Keysborough,3173,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,1.57
306,Arcare Keysborough,3173,Noble Park Endoscopy Centre,Private,1304 Heatherton Road Heatherton VIC 3174,2.15
256,Arcare Knox,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,1.4
256,Arcare Knox,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,1.47
8,Arcare Maidstone,3012,Western Gastroenterology Services,Private,30 Eleanor Street Maribyrnong VIC 3011,1.13
8,Arcare Maidstone,3012,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,1.13
236,Arcare Malvern East,3145,,Private,,
236,Arcare Malvern East,3145,,Public,,
235,Arcare Nirvana Avenue,3145,Malvern Private Hospital,Private,3-9 Bryson Crescent Stonnington VIC 3145,0.72
235,Arcare Nirvana Avenue,3145,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,2.44
234,Arcare Parkview Malvern East,3145,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.52
234,Arcare Parkview Malvern East,3145,Stonnington Day Surgery,Private,253 Wattletree Road Stonnington VIC 3144,0.84
409,Arcare Point Lonsdale,3225,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,13.21
409,Arcare Point Lonsdale,3225,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,15.57
405,Arcare Portarlingon,3223,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,15.09
405,Arcare Portarlingon,3223,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,16.12
109,Arcare Reservoir,3073,Hyperbaric Health Wound Centre Bundoora,Private,920 Plenty Road Darebin VIC 3083,0.93
109,Arcare Reservoir,3073,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.07
200,Arcare Surrey Hills,3127,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,1.38
200,Arcare Surrey Hills,3127,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,1.16
57,Arcare Sydenham,3037,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,5.13
57,Arcare Sydenham,3037,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,0.48
160,Arcare Templestowe,3106,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,3.2
160,Arcare Templestowe,3106,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,1.69
498,Archie Gray Nursing Home Unit,3419,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,153.06
498,Archie Gray Nursing Home Unit,3419,West Wimmera Health Service (Kaniva),Public,1-7 Roache Street Kaniva VIC 3419,0.09
255,Arpad Aged Care,3152,Knox Private Hospital,Private,262 Mountain Highway Knox VIC 3152,0.17
255,Arpad Aged Care,3152,Wantirna Health,Public,251 Mountain Highway Wantirna VIC 3152,0.17
673,Ashleigh House Hostel,3850,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,18.6
673,Ashleigh House Hostel,3850,Central Gippsland Health Service (Sale),Public,155 Guthridge Parade Sale VIC 3850,0.26
135,Assisi Aged Care,3084,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,1.29
135,Assisi Aged Care,3084,Heidelberg Endoscopy and Day Surgery Centre,Private,177-179 Northern Road Banyule VIC 3081,1.04
182,Auburn House,3123,Vision Day Surgery Camberwell,Private,25-27 Mathoura Road Boroondara VIC 3123,0.39
182,Auburn House,3123,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,0.93
85,Aurrum Brunswick,3055,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.37
85,Aurrum Brunswick,3055,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.93
633,Aurrum Healesville,3777,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,1.45
633,Aurrum Healesville,3777,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,15.81
145,Aurrum Plenty,3090,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,2.11
145,Aurrum Plenty,3090,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,4.16
112,Aurrum Reservoir,3073,Reservoir Private Hospital Day Procedure Centre,Private,73-75 Pine Street Darebin VIC 3073,1.47
112,Aurrum Reservoir,3073,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.02
247,Australian Unity Campbell Place Aged Care,3150,The Glen Endoscopy Centre,Private,302 Springvale Road Monash VIC 3150,0.51
247,Australian Unity Campbell Place Aged Care,3150,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.86
699,Australian Unity Peninsula Grange Aged Care,3931,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,1.05
699,Australian Unity Peninsula Grange Aged Care,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,1.45
702,Australian Unity Racecourse Grange Aged Care,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,1.66
702,Australian Unity Racecourse Grange Aged Care,3931,Mornington Endoscopy,Private,350 Main Street Main VIC 3931,1.73
83,Australian Unity Rathdowne Place Aged Care,3053,,Private,,
83,Australian Unity Rathdowne Place Aged Care,3053,,Public,,
208,Australian Unity Victoria Grange Aged Care,3133,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.21
208,Australian Unity Victoria Grange Aged Care,3133,Vermont Private Hospital,Private,645-647 Burwood Hwy Whitehorse VIC 3133,0.79
219,Aveo Mingarra Aged Care Community,3136,Maroondah Hospital,Public,1-15 Davey Drive Davey VIC 3135,1.63
219,Aveo Mingarra Aged Care Community,3136,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,0.76
517,Avoca Nursing Home,3467,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,37.06
517,Avoca Nursing Home,3467,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,15.24
351,Avonlea Aged Care,3194,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,1.95
351,Avonlea Aged Care,3194,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,1.17
496,Avonlea Hostel,3418,West Wimmera Health Service (Nhill),Public,51 Nelson Street Nhill VIC 3418,0.09
496,Avonlea Hostel,3418,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,146.35
99,BSL Aged Care - Clifton Hill,3068,St Vincent's Hospital,Public,41 Victoria Parade Fitzroy VIC 3065,1.38
99,BSL Aged Care - Clifton Hill,3068,Epworth Freemasons,Private,320 Victoria Parade Melbourne VIC 3002,1.3
680,Bairnsdale Regional Health Service ( Maddocks Gardens),3875,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,46.04
680,Bairnsdale Regional Health Service ( Maddocks Gardens),3875,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,0.12
455,Ballan Hostel,3342,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,0.17
455,Ballan Hostel,3342,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,12.56
456,Ballan Nursing Home,3342,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,12.73
456,Ballan Nursing Home,3342,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,0.03
393,Balmoral Grove,3216,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,3.66
393,Balmoral Grove,3216,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,2.2
587,Banawah NCN Health Nathalia,3638,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,23.85
587,Banawah NCN Health Nathalia,3638,Nathalia District Hospital,Public,36-44 Mcdonell Street Nathalia VIC 3638,0.26
692,Banfields Aged Care,3922,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,19.14
692,Banfields Aged Care,3922,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,19.11
583,Banksia Lodge Residential Aged Care Service,3631,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,4.47
583,Banksia Lodge Residential Aged Care Service,3631,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,4.18
655,Baptcare Abbey Gardens Community,3820,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,9.24
655,Baptcare Abbey Gardens Community,3820,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,1.42
654,Baptcare Amberlea Community,3818,Neerim District Health Service,Private,29-39 Church Road Church VIC 3831,9.71
654,Baptcare Amberlea Community,3818,West Gippsland Healthcare Group (Warragul),Public,41 Landsborough Street Warragul VIC 3820,4.57
79,Baptcare Brookview Community,3049,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,0.73
79,Baptcare Brookview Community,3049,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,3.97
384,Baptcare Coasthaven Community,3214,Specialist Surgicentre Geelong,Private,200 Malop Street Malop VIC 3220,4.18
384,Baptcare Coasthaven Community,3214,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,2.3
184,Baptcare Hedley Sutton Community,3124,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,0.31
184,Baptcare Hedley Sutton Community,3124,Vision Day Surgery Camberwell,Private,25-27 Mathoura Road Boroondara VIC 3123,0.9
663,Baptcare Heritage Manor Community,3840,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,2.15
663,Baptcare Heritage Manor Community,3840,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,1.51
152,Baptcare Karana Community,3101,St Vincent's Private Hospital Kew,Private,5 Studley Avenue Boroondara VIC 3101,0.54
152,Baptcare Karana Community,3101,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.92
563,Baptcare Northaven Community,3579,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,73.8
563,Baptcare Northaven Community,3579,Kerang District Health,Public,13-15 Burgoyne Street Kerang VIC 3579,0.33
364,Baptcare Peninsula View Community,3199,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,0.81
364,Baptcare Peninsula View Community,3199,Frankston Radiation Oncology Centre,Private,26 Frankston-flinders Road Frankston VIC 3199,0.85
664,Baptcare St Hilary's Community,3840,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,1.93
664,Baptcare St Hilary's Community,3840,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,3.96
138,Baptcare Strathalan Community,3085,,Public,,
138,Baptcare Strathalan Community,3085,,Private,,
173,Baptcare The Orchards Community,3109,Donvale Rehabilitation Hospital,Private,1119-1121 Doncaster Road Manningham VIC 3109,1.6
173,Baptcare The Orchards Community,3109,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,4.36
117,Baptcare Wattle Grove Community,3075,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,1.25
117,Baptcare Wattle Grove Community,3075,Epping Radiation Oncology Centre,Private,230 Cooper Street Whittlesea VIC 3076,1.22
5,Baptcare Westhaven Community,3011,Vision Day Surgery Footscray,Private,89 Paisley Street Maribyrnong VIC 3011,0.05
5,Baptcare Westhaven Community,3011,Tweddle Child and Family Health Service,Public,49-71 Adelaide Street Footscray VIC 3011,0.44
40,Baptcare Wyndham Lodge Community,3030,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,2.07
40,Baptcare Wyndham Lodge Community,3030,Werribee Endoscopy Centre,Private,179 Princes Highway Wyndham VIC 3030,1.32
366,Baptist Village Baxter Lodge,3199,St John of God Frankston Rehabilitation Hospital,Private,251-265 Cranbourne Road Frankston VIC 3199,1.66
366,Baptist Village Baxter Lodge,3199,Golf Links Road Rehabilitation Centre,Public,125 Market Road Frankston VIC 3199,0.25
419,Barongarook Gardens,3250,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,40.47
419,Barongarook Gardens,3250,Colac Area Health,Public,12 Connor Street Colac VIC 3250,0.12
586,Barwo Homestead,3638,Nathalia District Hospital,Public,36-44 Mcdonell Street Nathalia VIC 3638,0.11
586,Barwo Homestead,3638,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,23.93
356,Bayside Aged Care,3195,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,3.49
356,Bayside Aged Care,3195,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,1.25
372,Bayview Aged Care Facility,3201,Bayside Day Procedure and Specialist Centre,Private,141 Cranbourne Road Frankston VIC 3199,3.93
372,Bayview Aged Care Facility,3201,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,4.48
477,Beaufort Hostel,3373,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,25.88
477,Beaufort Hostel,3373,Beaufort & Skipton Health Service (Beaufort),Public,24-28 Havelock Street Beaufort VIC 3373,0.03
478,Beaufort Nursing Home,3373,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,26.03
478,Beaufort Nursing Home,3373,Beaufort & Skipton Health Service (Beaufort),Public,24-28 Havelock Street Beaufort VIC 3373,0.21
620,Beechworth Health Service Residential Care Program,3747,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,17.8
620,Beechworth Health Service Residential Care Program,3747,Beechworth Health Service,Public,52 Sydney Road Beechworth VIC 3747,0.03
312,Belvedere Aged Care,3174,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,0.74
312,Belvedere Aged Care,3174,Noble Park Endoscopy Centre,Private,1304 Heatherton Road Heatherton VIC 3174,0.37
183,Benetas Broughton Hall,3124,Vision Day Surgery Camberwell,Private,25-27 Mathoura Road Boroondara VIC 3123,0.69
183,Benetas Broughton Hall,3124,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,0.48
72,Benetas Colton Close,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,1.45
72,Benetas Colton Close,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,2.49
703,Benetas Corowa Court,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,1.01
703,Benetas Corowa Court,3931,The Bays Hospital - Mornington,Private,4 Vale Street Vale VIC 3931,0.55
666,Benetas Dalkeith Gardens,3844,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,5.59
666,Benetas Dalkeith Gardens,3844,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,2.83
84,Benetas Gladswood Lodge,3055,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.79
84,Benetas Gladswood Lodge,3055,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.49
275,Benetas Lovell House,3161,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,1.23
275,Benetas Lovell House,3161,Melbourne MediBrain and MediSleep Centre,Private,631 Inkerman Road Inkerman VIC 3161,0.33
31,Benetas St George's,3028,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,4.52
31,Benetas St George's,3028,Altona Endoscopy Centre,Private,3-5 Sargood Street Sargood VIC 3018,2.64
227,Benetas St John's Park,3138,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.06
227,Benetas St John's Park,3138,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,2.92
555,Benetas St Laurence Court Eaglehawk,3556,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,2.36
555,Benetas St Laurence Court Eaglehawk,3556,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,2.41
551,Benetas St Laurence Court Kangaroo Flat,3555,Bendigo Health (Anne Caudle),Public,100A Barnard Street Bendigo VIC 3550,4.11
551,Benetas St Laurence Court Kangaroo Flat,3555,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,3.0
368,Benetas St Paul's Terrace,3199,Frankston Radiation Oncology Centre,Private,26 Frankston-flinders Road Frankston VIC 3199,0.63
368,Benetas St Paul's Terrace,3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,0.93
134,Benetas The Views at Heidelberg,3084,Warringal Private Hospital,Private,216 Burgundy Street Banyule VIC 3084,0.59
134,Benetas The Views at Heidelberg,3084,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,0.68
16,Benlynne Park PNH,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,0.9
16,Benlynne Park PNH,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.98
704,Bentons Lodge - Residential Aged Service,3931,Mornington Endoscopy,Private,350 Main Street Main VIC 3931,1.22
704,Bentons Lodge - Residential Aged Service,3931,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,1.03
129,Bethel Aged Care,3082,Bundoora Extended Care Centre,Public,1231 Plenty Road Bundoora VIC 3083,2.31
129,Bethel Aged Care,3082,Northpark Private Hospital,Private,10 Greenhills Road Whittlesea VIC 3083,1.54
458,Bill Crawford Lodge,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,0.52
458,Bill Crawford Lodge,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,0.58
523,Birchip Nursing Home,3483,East Wimmera Health Service (Birchip),Public,24-26 Duncan Street Birchip VIC 3483,0.07
523,Birchip Nursing Home,3483,Bendigo Day Surgery,Private,1-7 Chum Street Chum VIC 3555,92.33
169,BlueCross Ashby,3107,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,3.26
169,BlueCross Ashby,3107,Manningham Day Procedure Centre,Private,503/200 High Street Manningham VIC 3107,0.87
349,BlueCross Autumdale,3192,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,1.21
349,BlueCross Autumdale,3192,Chesterville Day Hospital,Private,28 Chesterville Road Kingston VIC 3192,1.28
228,BlueCross Baradine,3138,Yarra Ranges Health,Public,25 Market Street Lilydale VIC 3140,2.5
228,BlueCross Baradine,3138,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,2.49
202,BlueCross Box Hill,3128,Vision Day Surgery Eastern,Private,852 Whitehorse Road Whitehorse VIC 3128,0.61
202,BlueCross Box Hill,3128,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,0.74
199,BlueCross Broughtonlea,3127,Vision Day Surgery Eastern,Private,852 Whitehorse Road Whitehorse VIC 3128,1.2
199,BlueCross Broughtonlea,3127,Box Hill Hospital,Public,8 Arnold Street Arnold VIC 3128,1.35
363,BlueCross Chelsea Manor,3196,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,6.15
363,BlueCross Chelsea Manor,3196,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,1.28
136,BlueCross Clevedon Terrace,3084,Warringal Private Hospital,Private,216 Burgundy Street Banyule VIC 3084,0.55
136,BlueCross Clevedon Terrace,3084,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,0.64
237,BlueCross Cresthaven,3145,Caulfield General Medical Centre,Public,260 Kooyong Road Caulfield VIC 3162,2.44
237,BlueCross Cresthaven,3145,Malvern Private Hospital,Private,3-9 Bryson Crescent Stonnington VIC 3145,0.72
230,BlueCross Darnlee,3142,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,1.96
230,BlueCross Darnlee,3142,Toorak Cosmetic Surgery Day Centre,Private,109 Mathoura Road Stonnington VIC 3142,0.53
354,BlueCross Elly Kay,3195,Como Private Hospital,Private,152-156 Como Parade Kingston VIC 3195,1.13
354,BlueCross Elly Kay,3195,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,2.98
359,BlueCross Gardenia,3196,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,1.77
359,BlueCross Gardenia,3196,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,6.57
73,BlueCross Glengowrie,3046,Broadmeadows Health Service,Public,35-57 Johnstone Street Jacana VIC 3047,2.72
73,BlueCross Glengowrie,3046,Dorset Rehabilitation Centre,Private,146 Derby Street Moreland VIC 3044,1.41
694,BlueCross Grossard Court,3922,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,18.96
694,BlueCross Grossard Court,3922,Beleura Private Hospital,Private,925 Nepean Highway Nepean VIC 3931,18.99
298,BlueCross Hansworth,3170,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,2.86
298,BlueCross Hansworth,3170,The Valley Private Hospital,Private,535-559 Police Road Monash VIC 3170,2.0
150,BlueCross Highgrove,3101,St Vincent's Private Hospital Kew,Private,5 Studley Avenue Boroondara VIC 3101,0.36
150,BlueCross Highgrove,3101,Caritas Christi Hospice Ltd,Public,104 Kooyong Road Kew VIC 3101,0.79
107,BlueCross Hilltop,3072,Heidelberg Repatriation Hospital,Public,300 Waterdale Road Waterdale VIC 3081,2.3
