,School,Postcode,Nearest Hospital,Type,Hopsital Address,Distance (miles)
1442,Ararat Secondary College,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,53.06
728,Ararat West Primary School,3377,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,53.32
728,Ararat West Primary School,3377,East Grampians Health Service (Ararat),Public,9-29 Girdlestone Street Ararat VIC 3377,0.63
786,Ardeer Primary School,3022,Fresenius Medical Care Sunshine Dialysis Clinic,Private,147-149 Furlong Road Brimbank VIC 3021,1.62
786,Ardeer Primary School,3022,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,1.69
900,Ardeer South Primary School,3020,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,1.98
900,Ardeer South Primary School,3020,Sunshine Hospital,Public,176-190 Furlong Road Furlong VIC 3021,2.17
265,Ardmona Primary School,3629,Shepparton Hospital,Public,2-48 Graham Street Shepparton VIC 3630,5.31
265,Ardmona Primary School,3629,Shepparton Private Hospital,Private,20 Fitzgerald Street Fitzgerald VIC 3630,5.74
432,Armadale Primary School,3143,Cabrini Prahran,Private,646-646A High Street Stonnington VIC 3181,0.5
432,Armadale Primary School,3143,The Alfred,Public,55 Commercial Road Melbourne VIC 3004,2.0
1208,Armstrong Creek School,3217,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,5.62
1208,Armstrong Creek School,3217,The Geelong Clinic,Private,94-102 Townsend Road Townsend VIC 3219,3.76
1201,Arnolds Creek Primary School,3337,Sydenham Day Surgery,Private,566 Melton Highway Brimbank VIC 3037,11.97
1201,Arnolds Creek Primary School,3337,Melton Health,Public,195-209 Barries Road Barries VIC 3337,1.65
290,Arthurs Creek Primary School,3099,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,10.15
290,Arthurs Creek Primary School,3099,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,11.47
428,Ascot Vale Primary School,3032,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.6
428,Ascot Vale Primary School,3032,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,1.27
924,Ascot Vale Special School,3032,Essendon Private Clinic,Private,665 Wantirna Road Wantirna VIC 3039,0.9
924,Ascot Vale Special School,3032,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,0.91
625,Ascot Vale West Primary School,3032,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,1.5
625,Ascot Vale West Primary School,3032,Northwest Day Hospital,Private,221 Maribyrnong Road Maribyrnong VIC 3032,0.66
666,Ashburton Primary School,3147,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,3.38
666,Ashburton Primary School,3147,Glen Iris Private,Private,314 Warrigal Road Boroondara VIC 3146,0.64
252,Ashby Primary School,3218,St John of God Geelong Hospital,Private,80 Myers Street Myers VIC 3220,1.05
252,Ashby Primary School,3218,University Hospital Geelong,Public,272-322 Ryrie Street Geelong VIC 3220,1.32
1213,Ashley Park Primary School,3754,The Northern Hospital,Public,185 Cooper Street Epping VIC 3076,6.66
1213,Ashley Park Primary School,3754,Diaverum Diamond Valley Dialysis Clinic,Private,15 Grimshaw Street Banyule VIC 3088,6.28
1434,Ashwood High School,3147,Skin Cancer Day Surgery,Private,19 Cleveland Road Monash VIC 3147,0.27
1434,Ashwood High School,3147,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,3.42
917,Ashwood School,3147,Skin Cancer Day Surgery,Private,19 Cleveland Road Monash VIC 3147,0.59
917,Ashwood School,3147,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,3.15
1052,Aspendale Gardens Primary School,3195,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,1.24
1052,Aspendale Gardens Primary School,3195,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,4.83
648,Aspendale Primary School,3195,Chelsea Heights Day Surgery & Endoscopy,Private,93 Wells Road Kingston VIC 3196,2.11
648,Aspendale Primary School,3195,Kingston Centre,Public,400 Warrigal Road Heatherton VIC 3202,4.67
1562,Assumption College,3764,Kilmore and District Hospital,Public,1 Anderson Road Kilmore VIC 3764,0.58
1562,Assumption College,3764,Goonawarra Day Hospital,Private,11 Dornoch Drive Hume VIC 3429,22.1
1182,Athol Road Primary School,3172,"Queen Elizabeth Centre, The",Public,37-53 Thomas Street Thomas VIC 3174,1.55
1182,Athol Road Primary School,3172,Windsor Avenue Day Surgery,Private,17 Windsor Avenue Windsor VIC 3171,1.36
1273,Auburn High School,3123,Epworth Rehabilitation Camberwell,Private,888 Toorak Road Boroondara VIC 3124,0.67
1273,Auburn High School,3123,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,1.87
472,Auburn Primary School,3123,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,0.68
472,Auburn Primary School,3123,Cotham Private Hospital,Private,209 Cotham Road Boroondara VIC 3101,0.81
647,Auburn South Primary School,3123,Epworth Rehabilitation Camberwell,Private,888 Toorak Road Boroondara VIC 3124,0.66
647,Auburn South Primary School,3123,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,1.81
1162,Aurora School,3130,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,1.11
1162,Aurora School,3130,Bellbird Private Hospital,Private,198 Canterbury Road Whitehorse VIC 3130,0.56
2220,Australian Christian College Hume,3672,Benalla Health,Public,47-63 Coster Street Benalla VIC 3672,0.6
2220,Australian Christian College Hume,3672,Wangaratta Private Hospital,Private,134-150 Templeton Street Wangaratta VIC 3677,22.16
2077,Australian International Academy of Education,3058,Coburg Endoscopy Centre,Private,15 Munro Street Moreland VIC 3058,0.6
2077,Australian International Academy of Education,3058,Royal Melbourne Hospital (Royal Park Campus),Public,34-56 Poplar Road Parkville VIC 3052,3.05
1912,Ave Maria College,3040,The Essendon Private Hospital,Private,35 Rosehill Road Rosehill VIC 3040,0.89
1912,Ave Maria College,3040,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,2.45
3,Avenel Primary School,3664,Nagambie HealthCare,Private,22 Church Street Strathbogie VIC 3608,9.53
3,Avenel Primary School,3664,Seymour Health,Public,1 Bretonneux Street Seymour VIC 3660,9.67
1932,Avila College,3149,"Peter James Centre, The",Public,321-345 Burwood Highway Burwood VIC 3131,2.28
1932,Avila College,3149,Waverley Endoscopy,Private,301 Blackburn Road Monash VIC 3149,0.83
2,Avoca Primary School,3467,Maryborough District Health Service (Maryborough),Public,75 Clarendon Street Maryborough VIC 3465,14.77
2,Avoca Primary School,3467,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,37.08
770,Avondale Primary School,3034,Dr Scope,Private,493 Ballarat Road Brimbank VIC 3020,1.78
770,Avondale Primary School,3034,Orygen Inpatient Unit,Public,10 Mavis Street Footscray VIC 3011,2.22
139,Axedale Primary School,3551,St John of God Bendigo Hospital,Private,133-145 Lily Street Lily VIC 3550,13.28
139,Axedale Primary School,3551,"Bendigo Hospital, The",Public,62 Lucan Street Bendigo VIC 3550,12.4
1444,Bacchus Marsh College,3340,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,12.99
1444,Bacchus Marsh College,3340,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,0.52
2105,Bacchus Marsh Grammar,3340,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,0.84
2105,Bacchus Marsh Grammar,3340,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,13.07
6,Bacchus Marsh Primary School,3340,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,13.12
6,Bacchus Marsh Primary School,3340,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,0.68
1058,Baden Powell P-9 College,3029,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,1.36
1058,Baden Powell P-9 College,3029,Mercy Public Hospitals Inc (Werribee),Public,300-310 Princes Highway Werribee VIC 3030,1.85
521,Badger Creek Primary School,3777,Healesville and District Hospital,Public,377 Maroondah Highway Healesville VIC 3777,2.39
521,Badger Creek Primary School,3777,Marie Stopes International Maroondah,Private,415 Dorset Road Maroondah VIC 3136,16.02
1465,Baimbridge College,3300,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,50.77
1465,Baimbridge College,3300,Hamilton Base Hospital,Public,20 Foster Street Hamilton VIC 3300,0.89
2146,Bairnsdale Christian Community School,3875,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,44.42
2146,Bairnsdale Christian Community School,3875,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,1.76
96,Bairnsdale Primary School,3875,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,47.02
96,Bairnsdale Primary School,3875,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,0.87
1406,Bairnsdale Secondary College,3875,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,46.03
1406,Bairnsdale Secondary College,3875,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,0.27
731,Bairnsdale West Primary School,3875,Bairnsdale Regional Health Service,Public,122 Day Street Bairnsdale VIC 3875,0.49
731,Bairnsdale West Primary School,3875,Heyfield Hospital Incorporated,Private,14-16 Licola Road Wellington VIC 3858,46.26
2183,Balcombe Grammar School,3934,Mornington Endoscopy,Private,350 Main Street Main VIC 3931,3.2
2183,Balcombe Grammar School,3934,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,3.02
867,Ballam Park Primary School,3199,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,1.6
867,Ballam Park Primary School,3199,St John of God Frankston Rehabilitation Hospital,Private,251-265 Cranbourne Road Frankston VIC 3199,0.39
237,Ballan Primary School,3342,Ballan District Health & Care,Private,33 Cowie Street Moorabool VIC 3342,0.49
237,Ballan Primary School,3342,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,12.24
2185,Ballarat Christian College,3356,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,2.45
2185,Ballarat Christian College,3356,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,2.0
1597,Ballarat Clarendon College,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,0.78
1597,Ballarat Clarendon College,3350,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,0.54
1685,Ballarat Grammar,3355,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,1.62
1685,Ballarat Grammar,3355,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,0.12
1274,Ballarat High School,3350,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,1.24
1274,Ballarat High School,3350,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,1.45
712,Ballarat North Primary School,3350,Ballarat Surgicentre,Private,5-9 Wood Street Ballarat VIC 3350,0.63
712,Ballarat North Primary School,3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,1.54
7,Ballarat Primary School (Dana Street),3350,Ballarat Hospital,Public,1 Drummond Street Drummond VIC 3350,0.51
7,Ballarat Primary School (Dana Street),3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,0.57
749,Ballarat Specialist School,3355,Ballarat Day Procedure Centre,Private,1117-1123 Howitt Street Ballarat VIC 3355,1.11
749,Ballarat Specialist School,3355,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,1.5
2152,Ballarat Steiner School,3350,"Queen Elizabeth Centre, The (Ballarat QEC)",Public,102 Ascot Street Ascot VIC 3350,5.42
2152,Ballarat Steiner School,3350,St John of God Ballarat Hospital,Private,101 Drummond Street Ballarat VIC 3350,5.8
583,Balliang East Primary School,3340,Westpoint Endoscopy Day Hospital,Private,243 Heaths Road Wyndham VIC 3030,15.54
583,Balliang East Primary School,3340,Djerriwarrh Health Services (Bacchus Marsh),Public,29-35 Grant Street Grant VIC 3340,8.12
1509,Balmoral K-12 Community College,3407,St John of God Warrnambool Hospital,Private,136 Botanic Road Warrnambool VIC 3280,85.75
1509,Balmoral K-12 Community College,3407,Western District Health Service (Coleraine),Public,71 Mcleod Street Coleraine VIC 3315,25.86
297,Balnarring Primary School,3926,Mornington Endoscopy,Private,350 Main Street Main VIC 3931,11.13
297,Balnarring Primary School,3926,The Mornington Centre,Public,24 Separation Street Mornington VIC 3931,11.03
1275,Balwyn High School,3104,Kew Endoscopy,Private,828 High Street Boroondara VIC 3102,0.82
1275,Balwyn High School,3104,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,1.51
689,Balwyn North Primary School,3104,Kew Endoscopy,Private,828 High Street Boroondara VIC 3102,0.82
689,Balwyn North Primary School,3104,St George's Health Service (Aged Care),Public,283 Cotham Road Kew VIC 3101,1.56
142,Balwyn Primary School,3103,O'Connell Family Centre,Public,6 Katamatite-nathalia Road Canterbury VIC 3126,1.08
142,Balwyn Primary School,3103,Linley Clinic,Private,25 Bryson Street Boroondara VIC 3126,0.93
713,Bandiana Primary School,3694,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,3.02
713,Bandiana Primary School,3694,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,3.04
129,Bannockburn P-12 College,3331,Epworth Geelong,Private,1 Epworth Place Epworth VIC 3216,13.12
129,Bannockburn P-12 College,3331,McKellar Centre (Geelong),Public,45-99 Ballarat Road Ballarat VIC 3215,10.94
558,Banyan Fields Primary School,3201,Frankston Hospital,Public,2 Hastings Road Frankston VIC 3199,5.03
558,Banyan Fields Primary School,3201,St John of God Frankston Rehabilitation Hospital,Private,251-265 Cranbourne Road Frankston VIC 3199,4.38
743,Banyule Primary School,3084,Mercy Hospital for Women,Public,163 Studley Road Heidelberg VIC 3084,1.28
743,Banyule Primary School,3084,Warringal Private Hospital,Private,216 Burgundy Street Banyule VIC 3084,1.25
387,Baranduda Primary School,3691,Murray Valley Private Hospital,Private,2/69 Nordsvan Drive Wodonga VIC 3690,4.96
387,Baranduda Primary School,3691,Albury Wodonga Health (Wodonga),Public,53-81 Vermont Street Wodonga VIC 3690,5.1
907,Baringa Special School,3825,Latrobe Regional Hospital,Public,10 Village Avenue Traralgon VIC 3844,11.81
907,Baringa Special School,3825,Maryvale Private Hospital,Private,286 Maryvale Road Latrobe VIC 3840,8.94
294,Baringhup Primary School,3463,Maldon Hospital,Public,1 Chapel Street Maldon VIC 3463,5.43
