,School,Nearest Hospital,Hopsital Address,Distance (miles)
80,Werribee Primary School,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,1.9
81,Winters Flat Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,21.47
82,Wooragee Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,13.25
83,Wallan Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,16.56
84,Woolsthorpe Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,12.94
85,Yandoit Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,26.16
86,Yarram Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,27.48
87,Pleasant Street Primary School (Ballarat),St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,0.51
88,Yea Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,32.25
89,Lancefield Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,21.06
90,Coimadai Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,14.06
91,Birregurra Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,29.94
92,Clayton North Primary School,Sir John Monash Private Hospital,212-220 Clayton Road Monash VIC 3168,0.45
93,Milawa Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,9.39
94,Lockwood Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,6.21
95,Bealiba Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,39.41
96,Bairnsdale Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,47.02
97,Gordon Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,6.54
98,Hepburn Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,20.57
99,Lara Lake Primary School,Specialist Surgicentre Geelong,200 Malop Street Malop VIC 3220,8.34
100,Rosedale Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,12.27
101,Bright P-12 College,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,41.26
102,Rochester Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,37.04
103,Ararat Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,52.27
104,Jamieson Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,48.89
105,Preston South Primary School,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.08
106,Omeo Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,75.04
107,Harrietville Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,52.71
108,Mordialloc Beach Primary School,Como Private Hospital,152-156 Como Parade Kingston VIC 3195,1.35
109,Healesville Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,16.27
110,Lake Bolac College,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,48.97
111,Toongabbie Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,10.26
112,Waubra Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,16.86
113,Great Western Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,60.38
114,Maffra Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,10.58
115,Broken Creek Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,24.13
116,Lal Lal Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,12.15
117,Cobden Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,32.66
118,St Leonards Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,16.0
119,Lilydale Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,5.23
120,Bendigo Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,0.36
121,Darraweit Guim Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,14.65
122,Linton Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,17.86
123,Invermay Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,1.99
124,Mitta Mitta Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,39.11
125,Camberwell Primary School,Vision Day Surgery Camberwell,25-27 Mathoura Road Boroondara VIC 3123,0.14
126,Greenvale Primary School,Keilor Private,12A Kennedy Street Brimbank VIC 3036,6.21
127,Alexandra Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,30.9
128,Rockbank Primary School,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,5.94
129,Bannockburn P-12 College,Epworth Geelong,1 Epworth Place Epworth VIC 3216,13.12
130,Doreen Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,7.16
131,Talbot Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,26.61
132,Yarra Glen Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,11.9
133,Elmhurst Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,40.64
134,Kangaroo Flat Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,2.34
135,Westmeadows Primary School,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,4.34
136,Sunbury Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,1.71
137,Diamond Creek Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,3.34
138,Hesket Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,17.52
139,Axedale Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,13.28
140,Vermont Primary School,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,1.49
141,Tarnagulla Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,24.04
142,Balwyn Primary School,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.93
143,Scoresby Primary School,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,2.88
144,Carisbrook Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,31.91
145,Wandin Yallock Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,8.16
146,Yering Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,8.79
147,Dartmoor Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,72.43
148,Mickleham Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,7.06
149,Inglewood Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,25.3
150,Chewton Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,22.08
151,Bolinda Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,10.08
152,Napoleons Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,8.43
153,Kew Primary School,St Vincent's Private Hospital Kew,5 Studley Avenue Boroondara VIC 3101,0.55
154,Haddon Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,6.92
155,Panmure Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,14.05
156,Sorrento Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,7.89
157,Alfredton Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,1.93
158,Bridgewater Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,20.67
159,Hastings Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,9.17
160,Yackandandah Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,12.17
161,Nagambie Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,0.6
162,Heyfield Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,0.37
163,Moorabbin Primary School,Bayside Endoscopy Day Hospital,437-441 South Road South VIC 3204,0.64
164,Mansfield Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,35.08
165,Middle Indigo Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,8.54
166,Briagolong Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,18.07
167,Lindenow Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,38.56
168,Broadford Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,29.63
169,Murchison Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,11.84
170,Panton Hill Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,8.46
171,Glen Park Primary School,Ballarat Surgicentre,5-9 Wood Street Ballarat VIC 3350,4.72
172,Concongella Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,65.14
173,Bruthen Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,60.42
174,Swan Hill Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,105.52
175,Porepunkah Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,38.72
176,Leopold Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,3.89
177,Inverleigh Primary School,Epworth Geelong,1 Epworth Place Epworth VIC 3216,15.07
178,Glen Iris Primary School,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,0.53
179,Trawalla Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,21.14
180,Quarry Hill Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,1.26
181,Sebastopol Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,2.69
182,Woodside Primary School,Maryvale Private Hospital,286 Maryvale Road Latrobe VIC 3840,32.87
183,Noorat Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,27.42
184,Albert Park Primary School,Albert Road Clinic,31-33 Albert Road Albert VIC 3004,1.18
185,Williamstown Primary School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,3.95
186,Boneo Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,3.46
187,Queenscliff Primary School,Rosebud SurgiCentre,1537 Pine Road Pine VIC 3940,13.98
188,Portland North Primary School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,49.17
189,Timor Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,34.09
190,Apsley Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,123.09
191,Strathfieldsaye Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,5.73
192,Skye Primary School,Peninsula Private Hospital,525 Mcclelland Drive Frankston VIC 3910,3.24
193,Tooborac Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,26.43
194,Lucknow Primary School,Heyfield Hospital Incorporated,14-16 Licola Road Wellington VIC 3858,47.66
195,Upper Plenty Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,15.84
196,Carlton North Primary School,Skin & Cancer Foundation Incorporated,80 Drummond Street Melbourne VIC 3053,0.99
197,Maldon Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,19.39
198,Woori Yallock Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,13.53
199,Moyston Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,60.82
200,Buninyong Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,7.0
201,Marysville Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,32.5
202,Langley Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,30.85
203,Wandong Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,20.01
204,Cowes Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,19.03
205,Bullarto Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,13.37
206,Lismore Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,39.05
207,Lower Plenty Primary School,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,1.5
208,Specimen Hill Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,0.73
209,Bolwarra Primary School,South West Regional Cancer Centre,26 Ryot Street Warrnambool VIC 3280,47.23
210,Navarre Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,59.39
211,Warracknabeal Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,109.75
212,Moyhu Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,17.28
213,Natte Yallock Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,45.7
214,Clifton Hill Primary School,Epworth Freemasons,320 Victoria Parade Melbourne VIC 3002,1.23
215,Christmas Hills Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,10.76
216,Tallangatta Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,17.47
217,Kialla Central Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,6.54
218,Mount Eliza Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,3.11
219,San Remo Primary School,Beleura Private Hospital,925 Nepean Highway Nepean VIC 3931,26.93
220,Dimboola Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,124.71
221,Whorouly Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,18.71
222,Merrijig Primary School,Euroa Health Inc,36 Kennedy Street Strathbogie VIC 3666,44.8
223,Lethbridge Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,17.5
224,Oxley Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,6.92
225,Northcote Primary School,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,1.3
226,North Melbourne Primary School,Frances Perry House,20 Flemington Road Melbourne VIC 3052,0.23
227,Dandenong Primary School,Corymbia House Day Hospital,92-94 David Street David VIC 3175,0.75
228,Malmsbury Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,29.81
229,Williamstown North Primary School,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,3.59
230,Kerang Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,73.53
231,Drouin West Primary School,Neerim District Health Service,29-39 Church Road Church VIC 3831,6.35
232,Meredith Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,18.58
233,Edi Upper Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,25.78
234,Eaglehawk North Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,4.01
235,Mooroopna Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,3.58
236,Cairnlea Park Primary School,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,1.13
237,Ballan Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,0.49
238,Mount Pleasant Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,1.54
239,Tatura Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,11.69
240,Toolamba Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,9.78
241,Harston Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,16.82
242,Osbornes Flat Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,12.35
243,Frankston Primary School,"Southern Eye Centre, Day Surgery & Laser Clinic",42-44 Cranbourne Road Frankston VIC 3199,0.45
244,Donald Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,76.06
245,Beveridge Primary School,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,12.4
246,St Kilda Primary School,St Kilda Day Hospital,26A Dickens Street Dickens VIC 3184,0.42
247,Cape Clear Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,20.82
248,Warburton Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,22.9
249,Tallarook Primary School,Nagambie HealthCare,22 Church Street Strathbogie VIC 3608,21.95
250,Barnawartha Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,11.49
251,Fitzroy North Primary School,Skin & Cancer Foundation Incorporated,80 Drummond Street Melbourne VIC 3053,1.63
252,Ashby Primary School,St John of God Geelong Hospital,80 Myers Street Myers VIC 3220,1.05
253,Preston Primary School,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.12
254,Tooradin Primary School,Casey Radiation Oncology Centre,2/55 Kangan Drive Casey VIC 3806,11.34
255,Glenferrie Primary School,Glenferrie Private Hospital,29 Hilda Crescent Boroondara VIC 3122,0.36
256,Elmore Primary School,St John of God Bendigo Hospital,133-145 Lily Street Lily VIC 3550,26.48
257,Dookie Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,15.3
258,Brighton Primary School,Epworth Rehabilitation Brighton,85-93 Wilson Street Bayside VIC 3186,0.13
259,Natimuk Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,116.1
260,Murtoa College,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,98.06
261,Big Hill Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,4.85
262,Clunes Primary School,Ballarat Day Procedure Centre,1117-1123 Howitt Street Ballarat VIC 3355,17.37
263,Marnoo Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,77.45
264,Beechworth Primary School,Murray Valley Private Hospital,2/69 Nordsvan Drive Wodonga VIC 3690,18.1
265,Ardmona Primary School,Shepparton Private Hospital,20 Fitzgerald Street Fitzgerald VIC 3630,5.74
266,Kilmore Primary School,Goonawarra Day Hospital,11 Dornoch Drive Hume VIC 3429,22.41
267,Macarthur Primary School,St John of God Warrnambool Hospital,136 Botanic Road Warrnambool VIC 3280,35.04
268,Barwon Heads Primary School,The Geelong Clinic,94-102 Townsend Road Townsend VIC 3219,8.54
269,Keilor Primary School,Keilor Private,12A Kennedy Street Brimbank VIC 3036,0.22
270,Dunolly Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,29.92
271,Springhurst Primary School,Wangaratta Private Hospital,134-150 Templeton Street Wangaratta VIC 3677,14.3
272,Dixons Creek Primary School,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,16.43
273,Trentham District Primary School,Ballan District Health & Care,33 Cowie Street Moorabool VIC 3342,15.68
274,Warrenheip Primary School,St John of God Ballarat Hospital,101 Drummond Street Ballarat VIC 3350,4.53
275,Maiden Gully Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,3.12
276,Rupanyup Primary School,Bendigo Day Surgery,1-7 Chum Street Chum VIC 3555,91.11
