,School,Nearest Hospital,Hopsital Address,Distance (miles)
126,Greenvale Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,3.4
127,Alexandra Primary School,Alexandra District Hospital,12 Cooper Street Alexandra VIC 3714,0.31
128,Rockbank Primary School,Melton Health,195-209 Barries Road Barries VIC 3337,6.46
129,Bannockburn P-12 College,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,10.94
130,Doreen Primary School,The Northern Hospital,185 Cooper Street Epping VIC 3076,7.84
131,Talbot Primary School,Maryborough District Health Service (Maryborough),75 Clarendon Street Maryborough VIC 3465,8.73
132,Yarra Glen Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,7.46
133,Elmhurst Primary School,East Grampians Health Service (Ararat),9-29 Girdlestone Street Ararat VIC 3377,18.86
134,Kangaroo Flat Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,3.57
135,Westmeadows Primary School,Broadmeadows Health Service,35-57 Johnstone Street Jacana VIC 3047,1.14
136,Sunbury Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,1.44
137,Diamond Creek Primary School,Bundoora Extended Care Centre,1231 Plenty Road Bundoora VIC 3083,5.68
138,Hesket Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,10.46
139,Axedale Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,12.4
140,Vermont Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,1.9
141,Tarnagulla Primary School,Maryborough District Health Service (Dunolly),20 Havelock Street Dunolly VIC 3472,7.77
142,Balwyn Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,1.08
143,Scoresby Primary School,Wantirna Health,251 Mountain Highway Wantirna VIC 3152,3.16
144,Carisbrook Primary School,Maryborough District Health Service (Maryborough),75 Clarendon Street Maryborough VIC 3465,4.14
145,Wandin Yallock Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,5.18
146,Yering Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,3.92
147,Dartmoor Primary School,Casterton Memorial Hospital,63 Russell Street Casterton VIC 3311,23.81
148,Mickleham Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,3.28
149,Inglewood Primary School,Inglewood and Districts Health Service,3 Hospital Street Inglewood VIC 3517,0.2
150,Chewton Primary School,Castlemaine Health,142 Cornish Street Castlemaine VIC 3450,3.4
151,Bolinda Primary School,Sunbury Day Hospital,7 Macedon Street Sunbury VIC 3429,9.92
152,Napoleons Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,7.96
153,Kew Primary School,Caritas Christi Hospice Ltd,104 Kooyong Road Kew VIC 3101,0.97
154,Haddon Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,6.81
155,Panmure Primary School,Terang and Mortlake Health Service (Terang),13 Austin Avenue Terang VIC 3264,11.13
156,Sorrento Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,7.94
157,Alfredton Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,2.27
158,Bridgewater Primary School,Inglewood and Districts Health Service,3 Hospital Street Inglewood VIC 3517,4.56
159,Hastings Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,9.02
160,Yackandandah Primary School,Beechworth Health Service,52 Sydney Road Beechworth VIC 3747,8.49
161,Nagambie Primary School,Seymour Health,1 Bretonneux Street Seymour VIC 3660,15.96
162,Heyfield Primary School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,10.93
163,Moorabbin Primary School,Sandringham & District Memorial Hospital,191-193 Bluff Road Sandringham VIC 3191,1.74
164,Mansfield Primary School,Mansfield District Hospital,51-53 Highett Street Mansfield VIC 3722,0.17
165,Middle Indigo Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,8.81
166,Briagolong Primary School,Central Gippsland Health Service (Maffra),42-48 Kent Street Maffra VIC 3860,9.38
167,Lindenow Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,8.74
168,Broadford Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,8.39
169,Murchison Primary School,Waranga Memorial Hospital,14 Coyle Street Rushworth VIC 3612,11.62
170,Panton Hill Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,10.02
171,Glen Park Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,5.34
172,Concongella Primary School,Stawell Regional Health,27-29 Sloane Street Stawell VIC 3380,2.36
173,Bruthen Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,15.14
174,Swan Hill Primary School,Swan Hill District Health (Swan Hill),50-54 Splatt Street Splatt VIC 3585,0.87
175,Porepunkah Primary School,Alpine Health (Bright),36-42 Cobden Street Bright VIC 3741,3.83
176,Leopold Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,5.94
177,Inverleigh Primary School,Hesse Rural Health Service (Winchelsea),8 Gosney Street Winchelsea VIC 3241,10.53
178,Glen Iris Primary School,O'Connell Family Centre,6 Katamatite-nathalia Road Canterbury VIC 3126,3.06
179,Trawalla Primary School,Beaufort & Skipton Health Service (Beaufort),24-28 Havelock Street Beaufort VIC 3373,4.84
180,Quarry Hill Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,1.64
181,Sebastopol Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,2.25
182,Woodside Primary School,Yarram and District Health Service,85-91 Commercial Road Yarram VIC 3971,10.96
183,Noorat Primary School,Terang and Mortlake Health Service (Terang),13 Austin Avenue Terang VIC 3264,3.65
184,Albert Park Primary School,The Alfred,55 Commercial Road Melbourne VIC 3004,1.62
185,Williamstown Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,0.42
186,Boneo Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,3.45
187,Queenscliff Primary School,Rosebud Hospital,1527 Pascoe Road Pascoe VIC 3940,14.02
188,Portland North Primary School,Portland District Health,141-151 Bentinck Street Portland VIC 3305,2.46
189,Timor Primary School,Maryborough District Health Service (Maryborough),75 Clarendon Street Maryborough VIC 3465,4.44
190,Apsley Primary School,Edenhope & District Hospital,124-134 Elizabeth Street Edenhope VIC 3318,12.19
191,Strathfieldsaye Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,5.45
192,Skye Primary School,Cranbourne Integrated Care Centre,140-154 Sladen Street Cranbourne VIC 3977,4.32
193,Tooborac Primary School,Heathcote Health,39-55 Hospital Street Heathcote VIC 3523,9.24
194,Lucknow Primary School,Bairnsdale Regional Health Service,122 Day Street Bairnsdale VIC 3875,1.8
195,Upper Plenty Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,10.04
196,Carlton North Primary School,Royal Dental Hospital (Melbourne),720 Swanston Street Carlton VIC 3053,0.74
197,Maldon Primary School,Maldon Hospital,1 Chapel Street Maldon VIC 3463,0.19
198,Woori Yallock Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,9.0
199,Moyston Primary School,East Grampians Health Service (Ararat),9-29 Girdlestone Street Ararat VIC 3377,9.2
200,Buninyong Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,6.69
201,Marysville Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,15.25
202,Langley Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,5.85
203,Wandong Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,5.57
204,Cowes Primary School,The Mornington Centre,24 Separation Street Mornington VIC 3931,19.0
205,Bullarto Primary School,Daylesford District Hospital,15 Hospital Street Daylesford VIC 3460,6.15
206,Lismore Primary School,Beaufort & Skipton Health Service (Skipton),2 Blake Street Skipton VIC 3361,18.71
207,Lower Plenty Primary School,Mercy Hospital for Women,163 Studley Road Heidelberg VIC 3084,3.64
208,Specimen Hill Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,1.9
209,Bolwarra Primary School,Portland District Health,141-151 Bentinck Street Portland VIC 3305,4.13
210,Navarre Primary School,Stawell Regional Health,27-29 Sloane Street Stawell VIC 3380,21.28
211,Warracknabeal Primary School,Rural Northwest Health (Warracknabeal),18 Dimboola Road Warracknabeal VIC 3393,0.62
212,Moyhu Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,16.91
213,Natte Yallock Primary School,Maryborough District Health Service (Dunolly),20 Havelock Street Dunolly VIC 3472,15.96
214,Clifton Hill Primary School,St Vincent's Hospital,41 Victoria Parade Fitzroy VIC 3065,1.26
215,Christmas Hills Primary School,Yarra Ranges Health,25 Market Street Lilydale VIC 3140,7.56
216,Tallangatta Primary School,Tallangatta Health Service,25 Barree Street Tallangatta VIC 3700,0.55
217,Kialla Central Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,6.36
218,Mount Eliza Primary School,Golf Links Road Rehabilitation Centre,125 Market Road Frankston VIC 3199,3.49
219,San Remo Primary School,Bass Coast Health,235 Graham Street Wonthaggi VIC 3995,12.84
220,Dimboola Primary School,Wimmera Base Hospital (Dimboola),32 Anderson Street Dimboola VIC 3414,0.43
221,Whorouly Primary School,Alpine Health (Myrtleford),30-32 Odonnell Avenue Myrtleford VIC 3737,8.62
222,Merrijig Primary School,Mansfield District Hospital,51-53 Highett Street Mansfield VIC 3722,9.92
223,Lethbridge Primary School,McKellar Centre (Geelong),45-99 Ballarat Road Ballarat VIC 3215,15.1
224,Oxley Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,6.55
225,Northcote Primary School,Royal Talbot Rehabilitation Centre,1 Yarra Boulevard Kew VIC 3101,1.91
226,North Melbourne Primary School,"Royal Women's Hospital, The",20 Flemington Road Parkville VIC 3052,0.25
227,Dandenong Primary School,Dandenong Hospital,135 David Street Dandenong VIC 3175,0.76
228,Malmsbury Primary School,Kyneton District Health Service,7-25 Fenaughty Drive Kyneton VIC 3444,6.52
229,Williamstown North Primary School,Williamstown Hospital,76A Railway Crescent Williamstown VIC 3016,0.53
230,Kerang Primary School,Kerang District Health,13-15 Burgoyne Street Kerang VIC 3579,0.55
231,Drouin West Primary School,West Gippsland Healthcare Group (Warragul),41 Landsborough Street Warragul VIC 3820,6.65
232,Meredith Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,22.5
233,Edi Upper Primary School,Alpine Health (Myrtleford),30-32 Odonnell Avenue Myrtleford VIC 3737,18.78
234,Eaglehawk North Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,3.83
235,Mooroopna Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,3.13
236,Cairnlea Park Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,1.53
237,Ballan Primary School,Djerriwarrh Health Services (Bacchus Marsh),29-35 Grant Street Grant VIC 3340,12.24
238,Mount Pleasant Primary School,"Queen Elizabeth Centre, The (Ballarat QEC)",102 Ascot Street Ascot VIC 3350,1.33
239,Tatura Primary School,Tatura Public Hospital,64-68 Park Street Tatura VIC 3616,0.47
240,Toolamba Primary School,Tatura Public Hospital,64-68 Park Street Tatura VIC 3616,7.5
241,Harston Primary School,Tatura Public Hospital,64-68 Park Street Tatura VIC 3616,5.11
242,Osbornes Flat Primary School,Beechworth Health Service,52 Sydney Road Beechworth VIC 3747,11.44
243,Frankston Primary School,Frankston Hospital,2 Hastings Road Frankston VIC 3199,0.37
244,Donald Primary School,East Wimmera Health Service (Donald),1A Aitken Avenue Donald VIC 3480,0.46
245,Beveridge Primary School,Craigieburn Health Service,274-304 Craigieburn Road Craigieburn VIC 3064,9.15
246,St Kilda Primary School,Caulfield General Medical Centre,260 Kooyong Road Caulfield VIC 3162,1.73
247,Cape Clear Primary School,Beaufort & Skipton Health Service (Skipton),2 Blake Street Skipton VIC 3361,15.13
248,Warburton Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,12.09
249,Tallarook Primary School,Seymour Health,1 Bretonneux Street Seymour VIC 3660,5.79
250,Barnawartha Primary School,Albury Wodonga Health (Wodonga),53-81 Vermont Street Wodonga VIC 3690,11.58
251,Fitzroy North Primary School,Royal Dental Hospital (Melbourne),720 Swanston Street Carlton VIC 3053,1.46
252,Ashby Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,1.32
253,Preston Primary School,Heidelberg Repatriation Hospital,300 Waterdale Road Waterdale VIC 3081,2.69
254,Tooradin Primary School,Kooweerup Regional Health Service,215 Rossiter Road Rossiter VIC 3981,5.81
255,Glenferrie Primary School,St George's Health Service (Aged Care),283 Cotham Road Kew VIC 3101,1.47
256,Elmore Primary School,Rochester and Elmore District Health Service,1 Pascoe Street Rochester VIC 3561,10.28
257,Dookie Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,15.7
258,Brighton Primary School,Calvary Health Care Bethlehem,476-482 Kooyong Road Kooyong VIC 3162,1.25
259,Natimuk Primary School,Wimmera Base Hospital (Horsham),83 Baillie Street Horsham VIC 3400,14.5
260,Murtoa College,West Wimmera Health Service (Rupanyup),89-91 Cromie Street Rupanyup VIC 3388,8.71
261,Big Hill Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,5.85
262,Clunes Primary School,Creswick District Hospital,1 Napier Street Creswick VIC 3363,10.5
263,Marnoo Primary School,West Wimmera Health Service (Rupanyup),89-91 Cromie Street Rupanyup VIC 3388,13.55
264,Beechworth Primary School,Beechworth Health Service,52 Sydney Road Beechworth VIC 3747,0.43
265,Ardmona Primary School,Shepparton Hospital,2-48 Graham Street Shepparton VIC 3630,5.31
266,Kilmore Primary School,Kilmore and District Hospital,1 Anderson Road Kilmore VIC 3764,0.72
267,Macarthur Primary School,Penshurst & District Memorial Hospital,146 Cobb Street Penshurst VIC 3289,18.65
268,Barwon Heads Primary School,University Hospital Geelong,272-322 Ryrie Street Geelong VIC 3220,11.14
269,Keilor Primary School,Sunshine Hospital,176-190 Furlong Road Furlong VIC 3021,3.16
270,Dunolly Primary School,Maryborough District Health Service (Dunolly),20 Havelock Street Dunolly VIC 3472,0.28
271,Springhurst Primary School,Northeast Health Wangaratta,35-47 Green Street Wangaratta VIC 3677,14.51
272,Dixons Creek Primary School,Healesville and District Hospital,377 Maroondah Highway Healesville VIC 3777,7.36
273,Trentham District Primary School,Daylesford District Hospital,15 Hospital Street Daylesford VIC 3460,10.63
274,Warrenheip Primary School,Ballarat Hospital,1 Drummond Street Drummond VIC 3350,4.52
275,Maiden Gully Primary School,Bendigo Health (Anne Caudle),100A Barnard Street Bendigo VIC 3550,3.93
276,Rupanyup Primary School,West Wimmera Health Service (Rupanyup),89-91 Cromie Street Rupanyup VIC 3388,0.35
277,Goornong Primary School,"Bendigo Hospital, The",62 Lucan Street Bendigo VIC 3550,15.3
