,Aged Care,Nearest Hospital,Hopsital Address,Distance (miles)
29,Florence Aged Care Facility,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.39
30,Opal Hobsons Bay,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.67
31,Benetas St George's,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.64
32,Estia Health Altona Meadows,Altona Endoscopy Centre,3-5 Sargood Street Sargood VIC 3018,2.73
33,mecwacare John Atchison Centre,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,2.04
34,Manor Court Werribee Aged Care,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,1.66
35,Glendale Aged Care,Westpoint Endoscopy Day Hospital,243 Heaths Road Wyndham VIC 3030,0.05
36,Mercy Place Wyndham,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,1.95
37,St Vincent's Care Services Werribee,Wyndham Clinic,242A Hoppers Lane Wyndham VIC 3030,0.3
38,Estia Health Werribee,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,1.71
39,Homestyle Point Cook Manor,Wyndham Clinic,242A Hoppers Lane Wyndham VIC 3030,1.4
40,Baptcare Wyndham Lodge Community,Werribee Endoscopy Centre,179 Princes Highway Wyndham VIC 3030,1.32
41,Royal Freemasons Gregory Lodge,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,0.71
42,Doutta Galla Lynch's Bridge Aged Care Facility,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,0.76
43,Wintringham McLean Lodge Hostel,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,1.13
44,Victorian Elderly Chinese Hostel,Northwest Day Hospital,221 Maribyrnong Road Maribyrnong VIC 3032,0.31
45,Cyril Jewell House,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.51
46,Mekong Vietnamese Aged Care,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.72
47,Holloway Aged Care Services,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.31
48,Edenvale Manor Aged Care Facility,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.55
49,Doutta Galla Avondale Heights Aged Care Facility,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.36
50,Embracia Moonee Valley,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.36
51,BlueCross Riverlea,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.55
52,Wintringham Ron Conn Nursing Home,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.74
53,Kalyna Care,St Albans Endoscopy Centre,328-330 Station Road Brimbank VIC 3021,1.37
54,Royal Freemasons Springtime-Sydenham,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,0.52
55,Water Gardens,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,0.77
56,Arcare Hillside,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,0.57
57,Arcare Sydenham,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,0.48
58,Rosary Home,Keilor Private,12A Kennedy Street Brimbank VIC 3036,1.22
59,Estia Health Keilor,Sydenham Day Surgery,566 Melton Highway Brimbank VIC 3037,2.15
60,Doutta Galla Queens Park Aged Care Facility,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.4
61,CraigCare Moonee Ponds,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.24
62,Menarock LIFE Essendon,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.76
63,Trevi Court Aged Care,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.37
64,Churches of Christ Care Arcadia Aged Care Service,The Essendon Private Hospital,35 Rosehill Road Rosehill VIC 3040,1.11
65,North Western District Private Nursing Home,Keilor Private,12A Kennedy Street Brimbank VIC 3036,3.65
66,Dorothy Impey Home,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.86
67,Edith Bendall Lodge,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.25
68,CraigCare Pascoe Vale,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.6
69,Glenlyn Aged Care Facility,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,2.37
70,BlueCross Monterey,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,2.5
71,Villa Del Sole,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,2.44
72,Benetas Colton Close,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,2.49
73,BlueCross Glengowrie,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.38
74,CraigCare Plumpton Villa,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.76
75,Ottoman Village Aged Care,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,3.41
76,McLellan House Hostel,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,3.23
77,Opal Roxburgh,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,5.13
78,Estia Health Coolaroo,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,4.36
79,Baptcare Brookview Community,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,3.97
80,mecwacare Vincent House,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,4.18
81,Elderly Chinese Home,Diaverum North Melbourne Dialysis Clinic,185 Boundary Road Melbourne VIC 3051,0.16
82,Mercy Place Parkville,,,
83,Australian Unity Rathdowne Place Aged Care,,,
84,Benetas Gladswood Lodge,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.79
85,Aurrum Brunswick,Essendon Private Clinic,665 Wantirna Road Wantirna VIC 3039,0.93
86,Hope Aged Care,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,0.69
87,Boyne Russell House,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,0.85
88,Northern Gardens Aged Care,John Fawkner Private Hospital,275 Moreland Road Moreland VIC 3058,0.32
89,Bupa Coburg,Coburg Endoscopy Centre,15 Munro Street Moreland VIC 3058,0.47
90,Wintringham Gilgunya Village,Coburg Endoscopy Centre,15 Munro Street Moreland VIC 3058,0.04
91,Anzac Lodge Nursing Home,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,0.98
92,Corpus Christi Community Greenvale Incorporated,Keilor Private,12A Kennedy Street Brimbank VIC 3036,6.21
93,St Basil's Homes for the Aged in Victoria,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.13
94,Regis Fawkner,Dorset Rehabilitation Centre,146 Derby Street Moreland VIC 3044,1.5
95,Moran Roxburgh Park,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,4.51
96,Arcare Craigieburn,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,7.32
97,Cambridge House,East Melbourne Specialist Day Hospital,23 Clarendon Street Melbourne VIC 3002,0.33
98,Mercy Place Abbotsford,The Melbourne Clinic,130 Church Street Yarra VIC 3121,0.85
99,BSL Aged Care - Clifton Hill,Epworth Freemasons,320 Victoria Parade Melbourne VIC 3002,1.3
100,Clifton Views,,,
101,BlueCross Westgarth,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,0.79
102,Little Sisters of the Poor St Joseph's Home,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,1.53
103,BlueCross Ruckers Hill,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,1.12
104,Medina Manor Aged Care,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.95
105,Fronditha Care Thornbury,North Eastern Rehabilitation Centre,134-146 Ford Street Banyule VIC 3079,0.83
106,St Paul's Hostel for the Elderly,Brunswick Private Hospital,82 Moreland Road Moreland VIC 3056,0.68
107,BlueCross Hilltop,Panch Day Surgery Centre,84-90 Hotham Street Darebin VIC 3072,0.07
108,The Ashley Aged Care,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,0.22
109,Arcare Reservoir,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,0.93
110,Twin Parks Private Hostel,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,1.33
111,Mayflower Reservoir,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,0.75
112,Aurrum Reservoir,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,1.47
113,Embracia Reservoir,Reservoir Private Hospital Day Procedure Centre,73-75 Pine Street Darebin VIC 3073,0.86
114,Mercy Place Keon Park,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,1.85
115,Twin Parks Aged Care Centre,Hyperbaric Health Wound Centre Bundoora,920 Plenty Road Darebin VIC 3083,1.33
116,Bupa Thomastown,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,1.88
117,Baptcare Wattle Grove Community,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.22
118,Estia Health Epping Vic,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.28
119,Epping Gardens,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,0.41
120,Opal Meadowglen,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.25
121,Grace Of Mary Greek Cypriot Elderly Hostel,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,1.25
122,Homestyle Green Gables,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,0.88
123,Arcare Epping,Epping Radiation Oncology Centre,230 Cooper Street Whittlesea VIC 3076,3.06
124,Alphington Aged Care,Darebin Endoscopy Services,42 Station Street Darebin VIC 3078,0.99
125,"Vasey RSL Care, Ivanhoe",Warringal Private Hospital,216 Burgundy Street Banyule VIC 3084,0.57
126,BlueCross Ivanhoe,Ivanhoe Endoscopy Centre,226 Princes Road Banyule VIC 3079,0.14
127,Estia Health Heidelberg,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,0.7
128,BlueCross The Boulevard,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,2.58
129,Bethel Aged Care,Northpark Private Hospital,10 Greenhills Road Whittlesea VIC 3083,1.54
130,Merv Irvine Nursing Home,Victorian Gut Centre,119 Plenty Road Whittlesea VIC 3083,0.71
131,"Vasey RSL Care, Bundoora",Victorian Gut Centre,119 Plenty Road Whittlesea VIC 3083,0.8
132,VMCH Bundoora,Victorian Gut Centre,119 Plenty Road Whittlesea VIC 3083,0.11
133,Rosanna Views Residential Aged Care Facility,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,0.93
134,Benetas The Views at Heidelberg,Warringal Private Hospital,216 Burgundy Street Banyule VIC 3084,0.59
135,Assisi Aged Care,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,1.04
136,BlueCross Clevedon Terrace,Warringal Private Hospital,216 Burgundy Street Banyule VIC 3084,0.57
137,Regis Macleod,Heidelberg Endoscopy and Day Surgery Centre,177-179 Northern Road Banyule VIC 3081,1.38
138,Baptcare Strathalan Community,,,
139,Liscombe House,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,1.68
140,Trinity Manor Greensborough,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.84
141,Bupa Greensborough,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.39
142,Grace Villa Aged Care,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.57
143,Deloraine Private Nursing Home,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,0.73
144,Kerala Manor,,,
145,Aurrum Plenty,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.13
146,Lower Plenty Garden Views,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.13
147,St Vincent's Care Services Eltham,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,2.26
148,Estia Health Wattle Glen,Diaverum Diamond Valley Dialysis Clinic,15 Grimshaw Street Banyule VIC 3088,5.9
149,Kew Gardens Aged Care,St Vincent's Private Hospital Kew,5 Studley Avenue Boroondara VIC 3101,0.49
150,BlueCross Highgrove,St Vincent's Private Hospital Kew,5 Studley Avenue Boroondara VIC 3101,0.36
151,Prague House,St Vincent's Private Hospital Kew,5 Studley Avenue Boroondara VIC 3101,0.51
152,Baptcare Karana Community,St Vincent's Private Hospital Kew,5 Studley Avenue Boroondara VIC 3101,0.54
153,Mary Guthrie House Nursing Home,St Vincent's Private Hospital Kew,5 Studley Avenue Boroondara VIC 3101,0.47
154,VMCH St Catherine's,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,1.48
155,VMCH Justin Villa,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,1.44
156,Trinity Manor,,,
157,Eva Tilley Memorial Home,Kew Endoscopy,828 High Street Boroondara VIC 3102,0.3
158,Newmans on the Park Aged Care,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,2.35
159,Charlesbrook Aged Care,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,2.48
160,Arcare Templestowe,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.69
161,Menarock LIFE Templestowe (Willowbrae),Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,2.07
162,Emerald Terrace Aged Care,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.89
163,Bupa Templestowe,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.95
164,BlueCross Silverwood,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,2.07
165,Templestowe Manor,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,0.65
166,Fronditha Care Templestowe,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.15
167,Mercy Place Templestowe,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,1.05
168,Menarock LIFE Lower Templestowe (Emmavale),Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,0.08
169,BlueCross Ashby,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,0.87
170,MannaCare Cassia House,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,0.65
171,MannaCare Doncaster Melaleuca Lodge,Manningham Day Procedure Centre,503/200 High Street Manningham VIC 3107,0.65
172,Millward,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,0.87
173,Baptcare The Orchards Community,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,1.6
174,CCSSCI - On Luck Chinese Nursing Home,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,1.41
175,The Heights Donvale,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,0.57
176,Bupa Donvale,,,
177,Greenview Aged Care,Donvale Rehabilitation Hospital,1119-1121 Doncaster Road Manningham VIC 3109,0.57
178,Riverside House,The Melbourne Clinic,130 Church Street Yarra VIC 3121,0.72
179,mecwacare Rositano House,The Melbourne Clinic,130 Church Street Yarra VIC 3121,0.37
180,Uniting AgeWell Hawthorn Community,Glenferrie Private Hospital,29 Hilda Crescent Boroondara VIC 3122,0.38
181,St Vincent's Care Services Hawthorn,Vision Day Surgery Camberwell,25-27 Mathoura Road Boroondara VIC 3123,0.1
182,Auburn House,Vision Day Surgery Camberwell,25-27 Mathoura Road Boroondara VIC 3123,0.39
183,Benetas Broughton Hall,Vision Day Surgery Camberwell,25-27 Mathoura Road Boroondara VIC 3123,0.69
184,Baptcare Hedley Sutton Community,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.89
185,Lynden Aged Care,Linley Clinic,25 Bryson Street Boroondara VIC 3126,1.01
186,Regis Shenley Manor,Epworth Rehabilitation Camberwell,888 Toorak Road Boroondara VIC 3124,0.84
187,"Uniting AgeWell Camberwell Community, Tanderra",Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.65
188,"Uniting AgeWell Camberwell Community, Condare Court",Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,1.07
189,Nazareth House Camberwell,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.94
190,BlueCross The Gables,Vision Day Surgery Camberwell,25-27 Mathoura Road Boroondara VIC 3123,0.65
191,Camberwell Green,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.69
192,Menarock LIFE Camberwell,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.94
193,Royal Freemasons Elizabeth Gardens Hostel,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,0.12
194,Trinity Manor Burwood,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,0.59
195,Royal Freemasons Elizabeth Gardens,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,0.12
196,Highwood Court Aged Care,Delmont Private Hospital,298-308 Warrigal Road Boroondara VIC 3146,0.29
197,BlueCross The Mews,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.67
198,Faversham House,Linley Clinic,25 Bryson Street Boroondara VIC 3126,0.32
199,BlueCross Broughtonlea,Vision Day Surgery Eastern,852 Whitehorse Road Whitehorse VIC 3128,1.2
200,Arcare Surrey Hills,Linley Clinic,25 Bryson Street Boroondara VIC 3126,1.16
201,Uniting AgeWell Box Hill Community,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,0.21
202,BlueCross Box Hill,Vision Day Surgery Eastern,852 Whitehorse Road Whitehorse VIC 3128,0.61
203,mecwacare Simon Price Centre,Epworth Eastern,1 Arnold Street Whitehorse VIC 3128,0.72
204,Regis Milpara Lodge,Bellbird Private Hospital,198 Canterbury Road Whitehorse VIC 3130,1.05
205,Regis Blackburn,Bellbird Private Hospital,198 Canterbury Road Whitehorse VIC 3130,0.83
206,AdventCare Whitehorse,Forest Hill Dialysis Clinic,69 Mahoneys Road Whitehorse VIC 3131,0.8
207,Uniting AgeWell Strathdon Community,Forest Hill Dialysis Clinic,69 Mahoneys Road Whitehorse VIC 3131,0.66
208,Australian Unity Victoria Grange Aged Care,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,0.79
209,Vermont Aged Care,Forest Hill Dialysis Clinic,69 Mahoneys Road Whitehorse VIC 3131,1.15
210,BlueCross Livingstone Gardens,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,1.09
211,Regis Ringwood,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,0.23
212,Opal Gracedale,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,0.89
213,Olivet Care,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,0.34
214,Estia Health Ringwood - Waldreas Village,Eastside Endoscopy Centre,33 Wantirna Road Maroondah VIC 3134,0.28
215,Della dale Aged Care,Ringwood Radiation Oncology Centre,36 Frankston-flinders Road Maroondah VIC 3135,0.86
216,Menarock LIFE Heathmont,Bayswater Day Procedure and Specialist Centre,664 Mountain Highway Knox VIC 3153,0.84
217,Lionsbrae,Ringwood Private Hospital,36 Mcclelland Road Maroondah VIC 3135,0.66
218,BlueCross Tarralla,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,0.97
219,Aveo Mingarra Aged Care Community,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,0.76
220,Diana Street Lodge,Ringwood Private Hospital,36 Mcclelland Road Maroondah VIC 3135,1.23
221,Bupa Croydon,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.81
222,Park Lane Croydon,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.81
223,Kirkbrae Residential Care,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.27
224,MiCare - Margriet Manor,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.27
225,MiCare - Overbeek Lodge,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.27
226,Mooroolbark Aged Persons Mental Health Residential Care Facility,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,1.82
227,Benetas St John's Park,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,2.06
228,BlueCross Baradine,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,2.49
229,Lilydale Aged Care,Marie Stopes International Maroondah,415 Dorset Road Maroondah VIC 3136,4.84
230,BlueCross Darnlee,Toorak Cosmetic Surgery Day Centre,109 Mathoura Road Stonnington VIC 3142,0.53
231,Regis Armadale,Marie Stopes International East St Kilda,338 Dandenong Road Dandenong VIC 3183,0.44
232,mecwacare Malvern Centre,Malvern Dialysis Clinic,1133 Malvern Road Stonnington VIC 3144,0.58
233,Regis East Malvern,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,0.72
234,Arcare Parkview Malvern East,Stonnington Day Surgery,253 Wattletree Road Stonnington VIC 3144,0.88
235,Arcare Nirvana Avenue,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,0.72
236,Arcare Malvern East,,,
237,BlueCross Cresthaven,Malvern Private Hospital,3-9 Bryson Crescent Stonnington VIC 3145,0.72
238,mecwacare Noel Miller Centre,Stonnington Day Surgery,253 Wattletree Road Stonnington VIC 3144,0.63
239,Samarinda Ashburton Aged Services Inc,Glen Iris Private,314 Warrigal Road Boroondara VIC 3146,0.64
240,Grand Cedar,Glen Iris Private,314 Warrigal Road Boroondara VIC 3146,0.54
241,Cabrini Residential Care-Ashwood,Skin Cancer Day Surgery,19 Cleveland Road Monash VIC 3147,0.38
242,BlueCross Scotchmans Creek,,,
243,Japara The Regent,Waverley Private Hospital,343-357 Blackburn Road Monash VIC 3149,0.49
244,Waverley Valley Aged Care,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,0.99
245,Nellie Melba Retirement Village,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,0.49
246,Weary Dunlop Retirement Village,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,1.73
247,Australian Unity Campbell Place Aged Care,The Glen Endoscopy Centre,302 Springvale Road Monash VIC 3150,0.51
248,Cumberland View Aged Care Living - Whalley Drive,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,1.94
249,Estia Health Glen Waverley,Waverley Endoscopy,301 Blackburn Road Monash VIC 3149,0.54
250,Lifeview The Willows,The Victorian Rehabilitation Centre,499 Springvale Road Monash VIC 3150,1.59
251,The Highbury,Vermont Private Hospital,645-647 Burwood Hwy Whitehorse VIC 3133,1.54
252,Menarock LIFE Glen Waverley,The Glen Endoscopy Centre,302 Springvale Road Monash VIC 3150,1.36
253,Northside Aged Persons Mental Health Residential Care Facility,Bellbird Private Hospital,198 Canterbury Road Whitehorse VIC 3130,1.37
254,Royal Freemasons Centennial Lodge,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,0.85
255,Arpad Aged Care,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,0.17
256,Arcare Knox,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,1.4
257,VMCH Wantirna,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,1.57
258,Opal Salford Park,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,0.43
259,Latvian Aged Care Facility,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,1.99
260,Homestyle Clarendon Grange,Knox Private Hospital,262 Mountain Highway Knox VIC 3152,0.91
261,Polish Retirement Home,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,0.42
262,Homestyle Ferndale Gardens,Bayswater Day Procedure and Specialist Centre,664 Mountain Highway Knox VIC 3153,0.62
263,Tabulam & Templer Home for the Aged,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,0.22
264,Heritage Gardens,Bayswater Day Procedure and Specialist Centre,664 Mountain Highway Knox VIC 3153,0.7
265,Martin Luther Homes,,,
266,Clovelly Cottage,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,1.37
267,Mercy Place Boronia,The Melbourne Eastern Private Hospital,153-159 Scoresby Road Knox VIC 3155,1.13
